"CO_NCM";"CO_SH6";"NO_NCM_POR";"NO_NCM_ING"
"85414122";"854141";"Outros diodos emissores de luz (led) exceto diodos ""laser""";"Oth.light-emitting diodes (led) n/mounted,exc.laser"
"85414124";"854141";"Outros diodos ""laser""";"Other laser diodes"
"85414220";"854142";"Outras células solares fotovoltaicas não montadas em módulos nem em painéis";"Other solar photovoltaic cells not mounted on modules or panels"
"85414290";"854142";"Outras células fotovoltaicas não montadas em módulos nem em painéis";"Other photovoltaic cells not mounted on modules or panels"
"85414300";"854143";"Células fotovoltaicas montadas em módulos ou em painéis";"Photovoltaic cells mounted on modules or panels"
"88069300";"880693";"Outros veículos aéreos (aeronaves) não tripulados, de peso máximo de decolagem superior a 7 kg, mas não superior a 25 kg";"Other unmanned aerial vehicles (aircraft) of a maximum take-off weight exceeding 7 kg but not exceeding 25 kg"
"87149611";"871496";"Pedaleiros com pedivelas de peça única (monobloco)";"Cranksets with one-piece cranks (monobloc)"
"29034900";"290349";"Outros derivados fluorados saturados dos hidrocarbonetos acíclicos, não classificados em códigos anteriores";"Other saturated fluorinated derivatives of acyclic hydrocarbons, not elsewhere classified under previous codes"
"29096090";"290960";"Outros peróxidos de álcoois, peróxidos de éteres, peróxidos de acetais e de hemiacetais, peróxidos de cetonas, e seus derivados halogenados, sulfonados, nitrados ou nitrosados";"Other alcohol peroxides, ether peroxides, acetone and hemiacetal peroxides, ketone peroxides, and their halogenated, sulfonated, nitrated or nitrosated derivatives"
"30024270";"300242";"Vacina veterinária contra as seguintes enfermidades: de Newcastle, a vírus vivo ou vírus inativo, de Gumboro, a vírus vivo ou vírus inativo, bronquite, a vírus vivo ou vírus inativo, difteroviruela, a vírus vivo, etc";"Veterinary vaccines, against diseases newcastle, gum.etc"
"30024280";"300242";"Vacina veterinária combinada contra enfermidade Newcastle, Gumboro, etc";"Combin.veter.vaccines, against diseas.newcastle, gum.etc"
"30024290";"300242";"Outras vacinas para medicina veterinária";"Other vaccines for veterinary medicine"
"85299050";"852990";"Outras partes para módulos de visualização de tela (ecrã) plana, mesmo que incorporem telas sensíveis ao toque (ecrãs tácteis)";"Other parts for flat panel display modules, whether or not incorporating touch screen displays"
"85395100";"853951";"Módulos de diodos emissores de luz (LED)";"Light Emitting Diode (LED) modules"
"85395200";"853952";"Lâmpadas e tubos de diodos emissores de luz (LED)";"Lamps and light emitting diodes tubes (LED)"
"85414111";"854141";"Diodos emissores de luz (LED), exceto diodos laser, não montados";"Light-emitting diodes (led) n/mounted,exc.laser"
"85414112";"854141";"Diodos laser não montados";"Laser diodes n/mounted"
"81123900";"811239";"Obras e outros produtos de háfnio (céltio)";"Articles and other products of hafnium (celtium)"
"84622200";"846222";"Máquinas para formação de perfis";"Profile forming machines"
"84858000";"848580";"Outras máquinas para fabricação aditiva, não classificadas em códigos anteriores";"Other additive manufacturing machines not classified under previous codes"
"34024110";"340241";"Acetato de oleilamina (agente orgânico de superfície)";"Oleylamine acetate (organic surface-active agent)"
"30024920";"300249";"Tuberculinas";"Tuberculins"
"85251022";"852510";"Aparelhos transmissores de rádio em FM, com etapa de saída valvulada, potência > 30 kw";"Fm radium, with output stage, pot>10kw, transmis.appar."
"85251029";"852510";"Outros aparelhos transmissores de radiodifusão";"Other transmission apparatus of radio-broadcasting"
"85251031";"852510";"Aparelhos transmissores de televisão, frequência > 7ghz";"Transmission apparatus of television, frequency>7ghz"
"85251032";"852510";"Aparelhos transmissores de televisão, banda UHF 2/2.7 Ghz, 10 watts < potência < 100 watts";"Transmis.appar.of televis., band uhf 2/2.7ghz, 10w<p<100w"
"85251033";"852510";"Aparelhos transmissores de televisão, banda UHF, potência > 10 kw";"Transmis.appar.of television, band uhf, pot>10kw"
"85251034";"852510";"Aparelhos transmissores de televisão, banda VHF, potência >= 20 kw";"Transmis.appar.of television, band vhf, pot>=20kw"
"85251039";"852510";"Outros aparelhos transmissores de televisão";"Other transmission apparatus of television"
"85252011";"852520";"Aparelhos transmissores/receptores de telecomunicação por satélite, para estação terrena";"Transm.appar./recep.satellite telecom.f/station terres."
"85252012";"852520";"Aparelhos transmissores/receptores de telecomunicação por satélite, para estação vsat";"Transm.appar./recep.satellite telecom.f/stations vsat"
"85394190";"853941";"Outras lâmpadas de arco";"Other arc lamps"
"85394900";"853949";"Lâmpadas/tubos de raios ultravioleta ou infravermelhos";"Lamps/ultraviolet or infrared tubes of rays"
"85399010";"853990";"Eletrodos para lâmpadas/tubos elétricos, de incandescência, etc.";"Electrodes f/lamps/electron.tubes of incandescence,etc"
"85399020";"853990";"Bases para lâmpadas/tubos elétricos, de incandescência, etc.";"Bases f/lamps/electron.tubes of incandescence,etc"
"85399090";"853990";"Outras partes para lâmpadas/tubos elétricos incandescência, etc";"Oth.parts f/lamps/electron.tubes of incandescence,etc"
"85401100";"854011";"Tubos catódicos para receptores de televisão, incluindo os tubos para monitores de vídeos, a cores (policromo)";"Cathode-ray tubes f/receivers of colour television,etc"
"85401200";"854012";"Tubos catódicos para receptores de televisão, incluindo os tubos para monitores de vídeos, a preto e branco ou outros monocromos";"Cathode-ray tubes f/receivers black/white telev.,etc"
"85402011";"854020";"Tubos para câmeras de televisão, em preto e branco ou outros monocromos";"Tubes f/cameras of black/white television,etc"
"85243200";"852432";"Discos gravados para leitura a raio laser, reprodução apenas do som";"Record.disks f/laser reading, reproducing sound only"
"85243900";"852439";"Outros discos gravados, para leitura por raio ""laser""";"Other recorded disks, for laser reading"
"85244000";"852440";"Fitas magnéticas gravadas, para reprodução de fenômenos dfierentes de som ou imagem";"Magnetic tapes recorded, f/reprod.dif.phen.sound/image"
"85245110";"852451";"Fitas magnéticas gravadas, largura <= 4 mm, em cartuchos/cassetes";"Magnetic tapes recorded, w<=4mm, in cartridges/cassettes"
"85245190";"852451";"Outras fitas magnéticas gravadas, largura <= 4mm";"Other magnetic tapes recorded, w<=4mm"
"85372090";"853720";"Outros quadros, painéis, etc, com aparelho interruptor de circuito elétrico, para uma tensão superior a 1.000 V";"Outs quadros etc.c/apar interrup circuito eletr t>52kv"
"85381000";"853810";"Quadros, painéis, consoles, cabinas, armários e outros suportes, da posição 85.37, desprovidos dos seus aparelhos";"Boards,panels,etc.without elect.circuit switches appar."
"84807990";"848079";"Outros moldes para borracha ou plásticos";"Other molds for rubber/plastic"
"85061011";"850610";"Pilhas alcalinas, de dióxido de manganês, de tensão igual a 1,5 V, cilíndricas, do tipo LR14 (C)";"Electric piles, of manganese dioxide, alkaline, of a voltage of 1.5 V, cylindrical, of the type LR14 (C)"
"85061012";"850610";"Pilhas alcalinas, de dióxido de manganês, de tensão igual a 1,5 V, cilíndricas, do tipo LR20 (D)";"Electric piles, of manganese dioxide, alkaline, of a voltage of 1.5 V, cylindrical, of the type LR20 (D)"
"85392990";"853929";"Outras lâmpadas/tubos incandescentes";"Other lamps/incandesc.tubes"
"85393100";"853931";"Lâmpadas/tubos descarga, fluorescente, de catodo quente";"Lamps/tubes discharge,fluorescent,hot cathode"
"85393200";"853932";"Lâmpadas de vapor de mercúrio/sódio ou halogeneto metal";"Mercury/sodium vapour lamps, metal halide lamps"
"85393900";"853939";"Outras lâmpadas/tubos de descarga";"Other lamps/tubes discharge"
"85394100";"853941";"Lâmpadas de arco";"Arc-lamps"
"85394110";"853941";"Lâmpadas de arco, de potência superior ou igual a 1.000 W";"Arc lamps with power => 1000w"
"87031000";"870310";"Veículos especialmente concebidos para se deslocar sobre a neve, veículos especiais para transporte de pessoas nos campos de golfe e veículos semelhantes";"Motor vehicles desig.f/travel.on snow,golf cars,etc"
"87032100";"870321";"Automóveis com motor explosão, de cilindrada não superior a 1.000 cm3";"Automobiles with motor explosion,cyl<=1000cm3"
"87032210";"870322";"Automóveis com motor explosão, de cilindrada superior a 1.000 cm3, mas não superior a 1.500 cm3, com capacidade de transporte de pessoas sentadas inferior ou igual a seis, incluindo o motorista";"Autom.with motor explosion,1000<cm3<=1500,up to 6 pass"
"87032290";"870322";"Automóveis com motor explosão, de cilindrada superior a 1.000 cm3, mas não superior a 1.500 cm3, superior a 6 passageiros";"Autom.with motor explos.1000<cm3<=1500,more than 6 pass"
"87032310";"870323";"Automóveis com motor explosão, 1500 < cm3 <= 3000, até 6 passageiros";"Autom.with motor explosion,1500<cm3<=3000,up to 6 pass"
"85424019";"854240";"Outros circuitos integrados híbridos, espessura de camada <= 1 micron";"Oth.hybr.integ.circuit thick.of layer<=1micron"
"85424090";"854240";"Outros circuitos integrados híbridos";"Other hybrid integrated circuits"
"85425000";"854250";"Microconjuntos eletrônicos";"Electronic microassemblies"
"85426011";"854260";"Circuito integrado híbrido, espessura de camada <= 1 micron, frequência >= 800 mhz";"Hybrid integrated circuits,t<=1micron f>=800mh"
"85426019";"854260";"Outros circuitos integrados híbridos, espessura <= 1 micron";"Other hybrid integrated circuits,t<=1micron"
"85426090";"854260";"Outros circuitos integrados híbridos";"Other hybrid integrated circuits"
"85427000";"854270";"Microconjuntos eletrônicos";"Electronic microassemblies"
"85429010";"854290";"Suportes-conectores apresentados em tiras (lead frames)";"Support-connector in strips,f/integ.circuits,etc.electr"
"87051030";"870510";"Caminhões-guindastes com capacidade máxima de elevação igual ou superior a 100 t";"Truck cranes with a maximum lifting capacity of 100 t or more"
"85491100";"854911";"Desperdícios/resíduos de acumuladores elétricos de chumbo, etc";"Waste/scrap of electric accumulators of lead,etc."
"95083000";"950830";"Atrações de parques e feiras";"Fairground attractions"
"85493100";"854931";"Desperdícios e resíduos, e sucatas, de montagens elétricas e eletrônicas e placas de circuitos impressos, que contenham pilhas, baterias de pilhas ou acumuladores, elétricos, interruptores de mercúrio, vidro de tubos catódicos ou outros vidros ativados, ou componentes elétricos ou eletrônicos que contenham cádmio, mercúrio, chumbo ou policlorobifenilas (PCB)";"Waste and scrap of electrical and electronic assemblies and printed circuit boards containing primary cells, primary batteries or electric accumulators, mercury switches, glass from cathode ray tubes or other activated glass or electrical or electronic components containing cadmium, mercury, lead or polychlorinated biphenyls (PCB)"
"29036100";"290361";"Brometo de metila (bromometano)";"Bromomethane"
"95082500";"950825";"Percursos aquáticos";"Waterways"
"87149920";"871499";"Caixas de direção sem rosca";"Threadless steering boxes"
"85491200";"854912";"Outros desperdícios e resíduos, e sucata, de pilhas, de baterias de pilhas e de acumuladores, elétricos, que contenham chumbo, cádmio ou mercúrio";"Other waste and scrap of primary cells, primary batteries and electric accumulators, containing lead, cadmium or mercury"
"89039300";"890393";"Outros iates e outros barcos e embarcações de recreio ou de esporte, barcos a remos e canoas, de comprimento não superior a 7,5 m";"Other yachts and other vessels for pleasure or sports, rowing boats and canoes, of a length not exceeding 7.5 m"
"90278100";"902781";"Espectrômetros de massa";"Mass spectrometers"
"90278911";"902789";"Calorímetros";"Calorimeters"
"70196300";"701963";"Tecidos de fibras de vidro consolidados mecanicamente, de fios de malha fechada, em ponto de tafetá, não revestidos nem estratificados";"Woven fabrics of mechanically bonded glass fibre yarn obtained from closed knit yarns, plain weave, not coated or laminated"
"38273190";"382731";"Outras preparações que contenham substâncias das subposições 2903.41 a 2903.48, não classificados em códigos anteriores";"Other preparations containing substances of subheadings 2903.41 to 2903.48, not classified under former codes"
"24049900";"240499";"Outros produtos que contenham nicotina destinados à absorção da nicotina pelo corpo humano, não classificados em códigos anteriores";"Other products containing nicotine for human body absorption of nicotine, not classified under previous codes"
"81069000";"810690";"Outros bismutos e suas obras, incluindo os desperdícios e resíduos, e sucata, não classificados em códigos anteriores";"Other bismuth and articles thereof, including waste and scrap, not classified under previous codes"
"84191200";"841912";"Aquecedores solares de água";"Solar powered water heaters"
"84193500";"841935";"Outros secadores, para madeiras, pastas de papel, papel ou cartão";"Other dryers, for wood, paper pulp, paper or paperboard"
"84287000";"842870";"Robôs industriais de elevação, de carga, de descarga ou de movimentação";"Industrial lifting, loading, unloading or handling robots"
"95082210";"950822";"Carrosséis, mesmo dotados de dispositivo de elevação, de diâmetro inferior a 16 m";"Carousels, whether or not fitted with a lifting device, of a diameter of less than 16 m"
"97052900";"970529";"Outras coleções e peças de coleção que apresentem um interesse zoológico, botânico, mineralógico, anatômico ou paleontológico";"Other collections and collectors' pieces of zoological, botanical, mineralogical, anatomical or paleontological interest"
"95082120";"950821";"Vagonetes de montanha-russa com capacidade igual ou superior a 6 pessoas";"Roller coaster cars with a capacity of 6 people or more"
"24049100";"240491";"Outros produtos que contenham nicotina destinados à absorção da nicotina pelo corpo humano, para aplicação oral";"Other nicotine-containing products intended for the absorption of nicotine by the human body, for oral application"
"97069000";"970690";"Outras Antiguidades com mais de 100 anos, não classificados em códigos anteriores";"Other Antiques more than 100 years old, not classified under previous codes"
"30024230";"300242";"Vacina veterinária, contra a querato-conjuntivite";"Veterinary vaccines, against keratoconjunctivitis"
"30024240";"300242";"Vacina veterinária, contra a cinomose";"Veterinary vaccines, against distemper"
"30024123";"300241";"Vacina contra a hepatite b, em doses";"Vaccines against hepatitis b, in doses"
"36034000";"360340";"Cápsulas fulminantes";"Primers"
"85372000";"853720";"Quadros, etc, com aparelhos interruptores de circuito elétrico, tensão > 1 kv";"Boards,etc.with elect.circuit switches appar.t>1kv"
"85372010";"853720";"Subestações isoladas a gás (GIS - Gas-Insulated Switchgear ou HIS - Highly Integrated Switchgear), para uma tensão superior a 52 kV";"Substacoes isoladas a gas(""gis"" ou ""his""),p/tensao>52kv"
"86072100";"860721";"Freios a ar comprimido e suas partes, de veículos para vias férreas";"Brakes and parts thereof of vehicles f/railway"
"86072900";"860729";"Outros freios e suas partes, de veículos para vias férreas";"Other brakes and parts thereof,of vehicles f/railway"
"86073000";"860730";"Ganchos e outros sistemas de engate, pára-choques, e suas partes, de veículos para vias férreas";"Hooks,buffers,etc.of vehicles f/railway"
"86079100";"860791";"Outras partes de locomotivas ou de locotratores";"Othter parts of locomotives"
"86079900";"860799";"Outras partes de veículos para vias férreas";"Other parts of vehicles f/railway"
"86080011";"860800";"Aparelhos mecânicos de sinalização, de segurança, de controle ou de comando para vias férreas ou semelhantes, rodoviárias ou fluviais, para áreas ou parques de estacionamento, instalações portuárias ou para aeródromos";"Signalling mechanical apparatus f/railway,etc."
"86080012";"860800";"Aparelhos eletromecânicos de sinalização, de segurança, de controle ou de comando para vias férreas ou semelhantes, rodoviárias ou fluviais, para áreas ou parques de estacionamento, instalações portuárias ou para aeródromos";"Signalling electro-mechanical apparatus f/railway,etc."
"86080090";"860800";"Material fixo de vias férreas ou semelhantes, suas partes";"Fixed material of railway/similar and its parts"
"86090000";"860900";"Contêineres, incluindo os de transporte de fluidos, especialmente concebidos e equipados para um ou vários meios de transporte";"Containers includ.the transport of fluids,etc."
"87029090";"870290";"Outros veículos automóveis para transporte de dez pessoas ou mais, incluindo o motorista";"Other motor vehicles for the transport>=10 person"
"90091210";"900912";"Aparelhos de reprodução indireta de fotocópia monocromático eletrostático";"Appar.f/indirec.reprod.of photocopy monochrom.electr."
"90091290";"900912";"Outros aparelhos de fotocópia, eletrostático, processo indireto";"Oth.photocopying appar.,electr.(indirec.proces.)"
"90092100";"900921";"Aparelhos de fotocópia, por sistema óptico";"Photocopying apparatus,incorporating an optical system"
"90092200";"900922";"Aparelhos de fotocópia, por contato";"Photocopying apparatus,of the contact type"
"90093000";"900930";"Aparelhos de termocópia";"Thermo-copying apparatus"
"90099010";"900990";"Cilindro recoberto de selênio, para aparelhos de fotocópia, reprodução indireta";"Cylinder covered of selenium f/photoc.appar.ind.reprod."
"90099090";"900990";"Partes e acessórios para outros aparelhos de fotocópia/termocópia";"Parts and access.f/oth.photoc.appar./thermo-copying"
"90099100";"900991";"Dispositivos automáticos para alimentação de documentos para aparelhos de fotocópia";"Automatic document feeders f/photocopyng apparatus"
"90099200";"900992";"Dispositivos alimentadores de papel para aparelhos de fotocópia";"Paper feeders f/photocopyng apparatus"
"90099300";"900993";"Dispositivos de triagem para aparelhos de fotocópia";"Sorters f/photocopyng apparatus"
"90099910";"900999";"Cilindros recobertos de material semicondutor, para aparelhos de fotocópia";"Cylinder covered semiconduc.mater.f/photocop.apparatus"
"90099990";"900999";"Outras partes e acessórios para aparelhos de fotocópia";"Oth.parts of access.f/photocopying apparatus"
"90101010";"901010";"Cubas e cubetas, de operação automática e programáveis, para revelação de filmes";"Tanks/trays autom.electr.program.f/developing photogr."
"90101020";"901010";"Ampliadoras-copiadoras automáticas para papel fotográfico, com capacidade superior a 1.000 cópias por hora";"Enlarging and printing mach.autom.f/phot.paper>1000c/h"
"90101090";"901010";"Outros aparelhos e materiais para revelação automática de filmes de fotografia, etc";"Other appar./equipment f/autom.devel.photographic,etc"
"90104100";"901041";"Aparelhos para inscrição em disco (""wafers"")";"Direct write-on-wafer apparatus"
"90104200";"901042";"Fotorrepetidores";"Step and repeat aligners"
"38249081";"382490";"Preparações à base de anidrido poliisobutenilsuccínico, em óleo mineral";"Prep.based on polyisobutenylsuc.anhydride, in min.oil"
"38249082";"382490";"Halquinol, tetraclorohidroxiglicina de alumínio e zircônio";"Halquinol, esters mixtures of dimethylic acids, etc"
"63025900";"630259";"Roupas de mesa, de outras matérias têxteis";"Table linen, of other textile materials"
"63025910";"630259";"Roupas de mesa de linho, exceto de malha";"Table linen, of flax, except knitted or crocheted"
"63025990";"630259";"Outras roupas de mesa de outras matérias têxteis";"Other table linen, of other textile materials"
"63026000";"630260";"Roupas de toucador ou de cozinha, de tecidos atoalhados de algodão";"Toilet linen/kitchen linen, of terry towelling, of cotton"
"63029100";"630291";"Outras roupas de toucador ou de cozinha, de algodão";"Other toilet linen/kitchen linen, of cotton"
"63029200";"630292";"Roupas de toucador/cozinha, de linho";"Toilet linen/kitchen linen, of flax"
"63029300";"630293";"Roupas de toucador/cozinha, de fibras sintéticas ou artificiais";"Toilet linen/kitchen linen, of synthetic/artificial"
"63029900";"630299";"Roupas de toucador/cozinha, de outras matérias têxteis";"Toilet linen/kitchen linen, of other textile materials"
"63029910";"630299";"Outras roupas/cama/cozinha/toucador/mesa, de linho";"Other bed linen/kitchen linen/toilet linen/table linen, of flax"
"63029990";"630299";"Outras roupas/cama/cozinha/toucador/mesa, de outras matérias têxteis";"Other bed linen/kitchen linen/toilet linen/table linen, of other textile materials"
"63031100";"630311";"Cortinas, sanefas, etc, de malha de algodão";"Curtains, valances, etc.of cotton mesh"
"63031200";"630312";"Cortinados, cortinas, reposteiros e estores, sanefas, de malha, de fibras sintéticas";"Curtains, valances, etc.of synthetic fibres mesh"
"63031900";"630319";"Cortinas, sanefas, etc, de malha de outras matérias têxteis";"Curtains, valances, etc.of oth.textile materials mesh"
"63031910";"630319";"Cortinados, cortinas, reposteiros e estores, sanefas, de malha, de algodão";"Veil, printed curtains, valances, cotton mesh and similar materials"
"69031011";"690310";"Cadinhos refratrários, de grafita";"Refractory crucibles, of graphite"
"69031012";"690310";"Cadinhos refratrários, elaborados com uma mistura de grafita e carboneto de silício";"Refractory crucibles, of graphite c/silicon carbide"
"60041091";"600410";"Tecidos de malha de largura superior a 30 cm, que contenham, em peso, 5 % ou mais de fios de elastômeros, mas que não contenham fios de borracha, exceto os da posição 60.01, de outras matérias têxteis, crus ou branqueados";"Tecidos de malha de outs.mat.text crus ou branq l>30cm"
"60041092";"600410";"Tecidos de malha de largura superior a 30 cm, que contenham, em peso, 5 % ou mais de fios de elastômeros, mas que não contenham fios de borracha, exceto os da posição 60.01, de outras matérias têxteis, tintos";"Tecidos de malha de outs.mat. texteis tintos l>30cm"
"60041093";"600410";"Tecidos de malha de largura superior a 30 cm, que contenham, em peso, 5 % ou mais de fios de elastômeros, mas que não contenham fios de borracha, exceto os da posição 60.01, de outras matérias têxteis, de fios de diversas cores";"Tecidos de malha de outs.mat.text fios div.cores l>30cm"
"60041094";"600410";"Tecidos de malha de largura superior a 30 cm, que contenham, em peso, 5 % ou mais de fios de elastômeros, mas que não contenham fios de borracha, exceto os da posição 60.01, de outras matérias têxteis, estampados";"Tecidos de malha de outs.mat.text estampados l>30cm"
"69039091";"690390";"Outros produtos cerâmicos refratários de carboneto de silício";"Other refractory ceramic goods of silicon carbide"
"69039092";"690390";"Outros produtos cerâmicos refratários de compostos de zircônio";"Oth.refractory ceramic goods, zirconium compounds"
"69039099";"690390";"Outros produtos cerâmicos refratrários";"Other refractory ceramic goods"
"69041000";"690410";"Tijolos de cerâmica";"Ceramic bricks"
"72085200";"720852";"Produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, não folheados ou chapeados, nem revestidos, não enrolados, simplesmente laminados a quente, de espessura igual ou superior a 4,75 mm, mas não superior a 10 mm";"Hot-rolled iron/steel, w>=60cm, n/coils, 4.75<=t<=10mm"
"72085300";"720853";"Produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, não folheados ou chapeados, nem revestidos, não enrolados, simplesmente laminados a quente, de espessura igual ou superior a 3 mm, mas inferior a 4,75 mm";"Hot-rolled iron/steel, w>=60cm, n/coils, 3mm<=t<4.75mm"
"72085400";"720854";"Produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, não folheados ou chapeados, nem revestidos, não enrolados, simplesmente laminados a quente, de espessura inferior a 3 mm";"Hot-rolled iron/steel, w>=60cm, n/coils, t<3mm"
"72089000";"720890";"Outros produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, laminados a quente, não folheados ou chapeados, nem revestidos";"Hot-rolled iron/steel, w>=6dm, n/clad/plated, etc"
"55031010";"550310";"Fibras de aramida, não cardadas, não penteadas, etc.";"Fibres of aramids, no carded, no combed, etc."
"56039330";"560393";"Outros falsos tecidos de polipropileno, de peso superior a 70 g/m2 mas não superior a 150 g/m2";"Outros falsos tecidos polipropilen,70g/m2<peso<=150g/m2"
"56039340";"560393";"Outros falsos tecidos raiom viscose, de peso superior a 70 g/m2 mas não superior a 150 g/m2";"Outros falsos tecidos raiom viscos,70g/m2<peso<=150g/m2"
"56039390";"560393";"Outros falsos tecidos, de peso superior a 70 g/m2 mas não superior a 150 g/m2";"Other non-wovens, 70g/m2<weight<=150g/m2"
"56039400";"560394";"Outros falsos tecidos, de peso superior a 150 g/m2";"Other non-wovens weight>150/m2"
"56039410";"560394";"Outros falsos tecidos de poliéster, de peso superior a 150 g/m2";"Outros falsos tecidos de poliester,peso>150g/m2"
"56039420";"560394";"Outros falsos tecidos de polipropileno, de peso superior a 150 g/m2";"Outros falsos tecidos de polipropileno,peso>150g/m2"
"56039430";"560394";"Outros falsos tecidos de raiom viscose, de peso superior a 150 g/m2";"Outros falsos tecidos, de raiom viscose peso>150g/m2"
"56039490";"560394";"Outros falsos tecidos, de peso superior a 150 g/m2";"Outros falsos tecidos,peso>150g/m2"
"56041000";"560410";"Fios e cordas, de borracha, recobertos de têxteis";"Rubber thread and cord, textile covered"
"56042010";"560420";"Fios de alta tenacidade de poliésteres, etc, com borracha";"High tenacity yarn of polyesters, etc.with rubber"
"56042020";"560420";"Fios de alta tenacidade de poliésteres, etc, com plástico";"High tenacity yarn of polyesters, etc.with plastic"
"56049010";"560490";"Imitações de categute constituídas por fios de seda";"Imitations of catgut constituted by threads of silk"
"56049021";"560490";"Fios de alta tenacidade, de poliésteres, náilon ou de outras poliamidas, ou de raiom viscose, impregnados ou revestidos, com borracha";"High tenacity yarn, of polyesters, nylon, other polyamides, recovered with rubber"
"56049022";"560490";"Fios de alta tenacidade, de poliésteres, náilon ou de outras poliamidas, ou de raiom viscose, impregnados ou revestidos, com plástico";"High tenacity yarn, of polyesters, nylon, recovered with plastic"
"56049090";"560490";"Outros fios de alta tenacidade, de poliésteres, náilon ou de outras poliamidas, ou de raiom viscose, impregnados ou revestidos";"Other textile yarn/strip, etc.with rubber/plastic"
"84624200";"846242";"Máquinas (excluindo as prensas) para puncionar, chanfrar ou mordiscar, para produtos planos, incluindo as máquinas combinadas de puncionar e cisalhar, de comando numérico";"Punching, notching or shearing machines (excluding presses) for flat products, including combined numerically controlled punching and shearing machines"
"29093023";"290930";"Éteres hexa-, hepta- ou octabromodifenílicos";"Hexa-, hepta- or octabromodiphenyl ethers"
"89032200";"890322";"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 7,5 m, mas não superior a 24 m";"Sailboats, other than inflatable, whether or not with auxiliary motor, of a length exceeding 7.5 m but not exceeding 24 m "
"76071120";"760711";"Folhas/tiras, de alumínio, sem suporte, laminadas, constituídas de, pelo menos, duas camadas de diferentes ligas de alumínio, sendo uma o núcleo e as outras de revestimento, exceto: núcleo de liga da Aluminium Association AA 3003 modificada (liga de alumínio com um teor, em peso, de silício inferior ou igual a 0,60 %, de ferro inferior ou igual a 0,70 %, decobre igual ou superior a 0,05 % e inferior ou igual a 0,20 %, de manganês igual ou superior a 1,0 % e inferior ou igual a 1,5 %, de zinco inferior ou igual a 0,15 % e de outros elementos total inferior ou igual a 0,15 %) com revestimento de liga AA 4343 (liga de alumínio com um teor, em peso, de silício igual ou superior a 6,8 % e inferior ou igual a 8,2 %, de ferro inferior ou igual a 0,80 %, de cobre inferior ou igual a 0,25 %, de manganês inferior ou igual a 0,10 %, de zinco inferior ou igual a 0,20 % e de outros elementos total inferior ou igual a 0,15 %)";"Aluminum sheets/strips, unsupported, laminated, consisting of at least two layers of different aluminum alloys, one for the core and the other for the skin, except: core of modified Aluminum Association AA 3003 alloy (alloy of aluminum with a content by weight of silicon not exceeding 0.60%, iron not exceeding 0.70%, copper not exceeding 0.05% and not equal to 0.20%, manganese equal to or greater than 1.0% and less than or equal to 1.5%, zinc less than or equal to 0.15% and other elements total less than or equal to 0.15%) with AA 4343 alloy coating ( aluminum alloy with a content by weight of silicon not exceeding 6.8% and not exceeding 8.2%, iron not exceeding 0.80%, and copper not exceeding 0.25 %, manganese less than or equal to 0.10 %, zinc less than or equal to 0.20 % and other elements total less than or equal to 0.15 %)"
"88069900";"880699";"Outros veículos aéreos (aeronaves) não tripulados, não classificados em códigos anteriores";"Other unmanned aerial vehicles (aircraft), not classified under previous codes"
"85414210";"854142";"Células solares orgânicas fotovoltaicas não montadas em módulos nem em painéis";"Organic photovoltaic solar cells not mounted on modules or panels"
"74198040";"741980";"Discos de cobre próprios para cunhagem de moedas ";"Copper discs suitable for minting coins "
"19012010";"190120";"Massa para a preparação de pão, sem adição de grãos ou sementes integrais, congelada";"Dough for preparing bread, without adding whole grains or seeds, frozen"
"28201090";"282010";"Outros dióxidos de manganês";"Other manganese dioxides"
"39072991";"390729";"Poliacetal poliéter (PAPE)";"Polyether polyacetal (PAPE)"
"28273939";"282739";"Outros cloretos de zinco";"Other Zinc chlorides"
"48119011";"481190";"Papéis/cartões/pasta e mantas de fibras de celulose em tiras ou rolos de largura não superior a 15 cm ou em folhas em que nenhum lado exceda 360 mm, quando não dobradas recobertos de pasta eletrolítica à base de amido modificado, de peso igual ou superior a 75 g/m2, mas não superior a 120 g/m2";"Paper/cardboard/folder and cellulose fiber blankets in strips or rolls of a width not exceeding 15 cm or in sheets with no side exceeding 360 mm, when not folded, covered with electrolytic paste based on modified starch, of equal weight or exceeding 75 g/m2 but not exceeding 120 g/m2"
"74094011";"740940";"Chapas e tiras de ligas à base de cobre-níquel (cuproníquel) ou de cobre-níquel-zinco (maillechort), de espessura superior a 0,15 mm, em rolos, de liga de cobreniquelsilício, galvanizadas";"Plates and strips of alloys based on copper-nickel (cupronickel) or copper-nickel-zinc (maillechort), with a thickness greater than 0.15 mm, in rolls, of copper-nickel-silicon alloy, galvanized"
